Player Name,Credits,Player Type,Team,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Pravin Dubey,6,BOWL,PBKS,4,1,23,16,23,33,69.7,0,0,2,0,1,0,4,66,91,1,43466,91,8.27,66,0,0
Prince Yadav,5.5,BOWL,LSG,22,6,280,0,17.5,220,127.3,0,1,24,12,7,0,20,360,450,14,0,32.1,7.5,25.7,0,0
Priyansh Arya,6.5,BAT,PBKS,40,13,681,46,29.61,395,172.41,0,0,39,49,22,0,40,0,0,0,0,0,0,0,0,0
Pyla Avinash,5.5,BAT,PBKS,10,2,150,44,18.8,120,125,0,0,12,8,2,0,0,0,0,0,0,0,0,0,0,0
Quinton de Kock,8,WK,KKR,109,7,3258,140,31.94,2418,134.74,2,54,325,129,71,16,109,0,0,0,-,-,-,-,0,0
Rachin Ravindra,8,BAT,CHE,13,1,328,65,218,150.46,0,2,29,16,10,0,0,13,12,7,0,0\3,0,3.5,0,0,0
Rahmanullah Gurbaz,7.5,WK,KKR,14,0,289,81,22.23,216,133.8,0,2,24,19,15,0,14,0,0,0,-,-,-,-,0,0
Rahul Chahar,6.5,BOWL,SRH,10.66666667,1.166666667,21.5,11.33333333,7.105,19.16666667,109.2766667,0,0,2.166666667,0.833333333,3.166666667,0,10.66666667,227.6666667,292.6666667,11.16666667,0,26.60333333,7.848333333,20.38833333,0.166666667,0
Rahul Tewatia,7,ALL,GT,10,2.875,103.125,34.25,23.55125,77.875,134.40875,0,0.125,7.5,5.25,4,0,10,103.125,135,3.875,0,21.345,7.79125,17.66875,0,0
Rahul Tripathi,7.5,BAT,CHE,14,0,391,93,27.92,267,146.44,0,2,43,17,5,0,14,6,12,0,0,0,12,0,0,0
Raj Angad Bawa,5.5,BAT,MI,2,0,11,11,5.5,14,78.57,0,0,1,0,0,0,2,0,0,0,-,-,-,-,0,0
Rajat Patidar,8,BAT,RCB,14,4.333333333,366.3333333,43,34.54333333,167.6666667,148.13,0.333333333,2.333333333,45,18,2.666666667,0,12,0,0,0,0,0,0,0,0,0
Rajvardhan Hangargekar,5.5,BOWL,LSG,2,0,0,0,0,0,0,0,0,0,0,0,0,2,36,60,3,0,20,10,12,0,0
Ramakrishna Ghosh,5.5,ALL,CHE,18,4,240,44,17.1,210,114.3,0,0,21,8,5,0,15,300,390,12,0,32.5,7.8,25,0,0
Ramandeep Singh,7.5,ALL,KKR,9.5,3.5,85,35,26.875,51,157.055,0,0,4,6.5,4.5,0,10,20,31.5,3,0,4.5,11.25,3,0,0
Rashid-Khan,9,BOWL,GT,123,23,551,79,14.5,341,161.58,0,1,39,39,42,0,123,2895,3310,150,45383,22.07,6.86,19.3,2,0
Rasikh Salam,6.5,BOWL,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravi Bishnoi,8,BOWL,LSG,13,1.5,8,2.666666667,4,12.25,56.0175,0,0,0.5,0,4.25,0,13,270.25,343,12.5,0,28.1425,7.555,22.035,0,0
Ravichandran Ashwin,8,ALL,CHE,14.06666667,2.266666667,53.33333333,23.8,12.334,45,107.9853333,0,0.066666667,4.066666667,1.866666667,3.2,0,14.13333333,301.6,358,12,0,30.16,6.874,25.47133333,0.066666667,0
Ravindra Jadeja,8.5,ALL,CHE,15,4.75,284.9375,49.83333333,30.63125,152.5625,130.50875,0,0.1875,13.4375,6.6875,6.4375,0,15,239.3125,304,10,0,32.50875,7.74875,25.2025,0.1875,0.0625
Ravisrinivasan Sai Kishore,7,BOWL,GT,12,1,14,13,7,7,200,0,0,0,2,5,0,12,234,325,17,12145,19.12,8.33,13.76,1,0
Reece Topley,6.5,BOWL,MI,5,1,3,3,-,6,50,0,0,0,0,1,0,5,102,182,5,46419,36.4,10.71,20.4,0,0
Rinku Singh,7.5,BAT,KKR,7.5,1.833333333,148.8333333,20.75,24.91166667,103.8333333,124.88,0,0.666666667,11.16666667,7.666666667,5,0,7.5,0,0,0,0,0,0,0,0,0
Rishabh Pant,9,WK,LSG,14.5,2,457.1666667,70.5,37.10833333,292,156.2633333,0.166666667,2.666666667,41,23.16666667,9.833333333,3.833333333,14.5,0,0,0,0,0,0,0,0,0
Riyan Parag,8,ALL,RR,12.4,1.8,219,37.5,24.926,160.4,127.712,0,1.2,16,11,7.2,0,12.6,35,61.4,0.8,0,38.5,11.544,20.6,0,0
Robin Minz,5.5,WK,MI,30,7,720,0,31.3,520,138.5,0,5,64,36,18,3,0,0,0,0,0,0,0,0,0,0
Rohit Sharma,9,BAT,MI,15.625,2.25,410.5,68.75,31.9825,317.375,129.57625,0.125,2.75,33.25,17.5,6.875,0,15.625,45.375,56.625,1.875,0,17.76625,9.35625,13.9425,0.125,0
Romario Shepherd,7,ALL,RCB,10,4,115,39,23,63,182.54,0,0,7,10,0,0,10,126,257,4,15373,64.25,12.24,31.5,0,0
Rovman Powell,7,BAT,KKR,27,3,360,67,18.95,244,147.54,0,1,21,28,18,0,27,18,35,1,43101,35,11.67,18,0,0
Ruturaj Gaikwad,9,BAT,CHE,13.2,1.6,476,87.66666667,43.556,347.8,134.418,0.4,3.6,43.4,18.2,7.2,0,13.2,0,0,0,0,0,0,0,0,0
Ryan Rickelton,7.5,WK,MI,2,0,19,13,9.5,16,118.75,0,0,4,0,2,0,2,0,0,0,-,-,-,-,0,0
Sachin Baby,6.5,BAT,SRH,11,1,119,33,23.8,79,150.63,0,0,9,5,1,0,11,10,8,2,0,4,4.8,5,0,0
Sai Sudharsan,8,BAT,GT,27,3,1171,103,48.79,825,141.94,1,8,104,39,4,0,27,0,0,0,-,-,-,-,0,0
Sam Curran,7.5,ALL,CHE,11.8,2.6,176.6,51,24.052,129.4,151.396,0,1,14.8,7.4,4.4,0,11.8,236.2,380,11.6,0,34.02,9.654,21.052,0.2,0
Sameer Rizvi,6.5,BAT,DC,8,1,51,21,12.75,43,118.6,0,0,4,2,4,0,8,0,0,0,0,0,0,0,0,0
Sandeep Sharma,7.5,BOWL,RR,11.875,2.375,6.75,8,2.875,8.125,92.17875,0,0,0.5,0,1.75,0,11.875,264.25,349.125,12.75,0,32.21125,8.0125,23.95,0.25,0
Sanju Samson,9,WK,RR,13.5,1,309.25,80.33333333,26.305,233.5,130.02,0.25,1.75,24.25,12.75,7.75,0,13.5,0,0,0,0,0,0,0,0,0
Satyanarayana Raju,5.5,ALL,MI,2,1,1,1,-,1,100,0,0,0,0,1,0,2,24,53,1,14611,53,13.25,24,0,0
Shahbaz Ahmed,7,ALL,LSG,56,9,545,59,18.79,448,121.65,0,1,29,25,21,0,56,546,859,21,44986,40.9,9.44,26,0,0
