Player Name,Credits,Player Type,Team,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Arshdeep Singh,8.5,BOWL,PBKS,13.5,1.75,7.25,4,2.75,9.25,93.1,0,0,1,0,2.5,0,13.5,288.75,431.25,16,0,28.27,8.925,19.4,0.5,0.25
Arshin Kulkarni,6,ALL,LSG,2,0,9,9,4.5,8,112.5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Aryan Juyal,5.5,WK,LSG,40,8,750,92,23.4,600,125,0,5,68,25,32,8,0,0,0,0,0,0,0,0,0,0
Ashok Sharma,5,BOWL,RR,2,1,5,0,5,8,62.5,0,0,0,0,0,0,15,300,380,12,0,31.7,7.6,25,0,0
Ashutosh Sharma,7,BAT,DC,11,2,189,61,27,113,167.26,0,1,10,15,2,0,11,0,0,0,0,0,0,0,0,0
Ashwani Kumar,5.5,BOWL,MI,5,3,25,0,12.5,30,83.3,0,0,2,1,1,0,28,600,720,24,0,30,7.2,25,0,0
Atharva Taide,6.5,BAT,SRH,7,0,186,66,26.57,129,144.19,0,2,20,6,5,0,7,0,0,0,0,0,0,0,0,0
Avesh Khan,8,BOWL,LSG,11.25,2,10.25,12,5.5,6,167.305,0,0,0.75,0.75,1.5,0,11.5,249.75,355.5,15.25,0,17.385,8.9225,12.115,0.25,0
Axar Patel,9,ALL,DC,133.6363636,3.272727273,180.2727273,87.57142857,21.35363636,114.8181818,126.7163636,0,0.272727273,9.727272727,7.181818182,6.545454545,0,13.63636364,281.7272727,341.6363636,11.18181818,0,35.32727273,7.37,28.52090909,0.090909091,0
Ayush Badoni,7,BAT,LSG,14,3,211.3333333,54,24.43666667,157.6666667,133.2166667,0,1.333333333,15.33333333,8,4.666666667,0,14,8.333333333,12,0.666666667,0,1.833333333,6,2,0,0
Azmatullah Omarzai,7.5,ALL,PBKS,8,0,58,17,11.6,48,120.83,0,0,4,3,0,0,8,138,215,4,46419,53.75,9.35,34.5,0,0
Bevon Jacobs,6,BAT,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhuvneshwar Kumar,8,BOWL,RCB,13.23076923,2.461538462,23.53846154,11.14285714,9.544615385,24.92307692,88.16846154,0,0,2.307692308,0.230769231,2.538461538,0,13.23076923,294.2307692,371.5384615,13.69230769,0,30.71769231,7.48,24.33076923,0.153846154,0.153846154
Chetan Sakariya,6,BOWL,KKR,19,2,20,7,3.33,31,64.52,0,0,3,0,6,0,19,426,599,20,11383,29.95,8.44,21.3,0,0
Corbin Bosch,6,ALL,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darshan Nalkande,6.5,BOWL,DC,3,0,12,12,12,11,109.09,0,0,0,1,2,0,3,29,45,3,0,15,9.31,9.67,0,0
David Miller,8,BAT,LSG,132,45,2964,101,37.05,2126,139.42,1,13,210,136,77,0,132,0,0,0,-,-,-,-,0,0
Deepak Chahar,8,BOWL,MI,11.83333333,1,13.33333333,20,6.86,9.833333333,115.3066667,0,0,0.333333333,1,2,0,11.83333333,249.6666667,329.6666667,12,0,35.29333333,8.336666667,24.55333333,0.333333333,0
Deepak Hooda,7,BAT,CHE,11.8,1.6,146.5,42.57142857,26.044,113.1,127.735,0,0.8,9.6,6.1,5.4,0,11.8,37.3,53.1,1,0,31.433,8.854,21.3,0,0
Devdutt Padikkal,7,BAT,RCB,40,9,1226,84,39.55,851,144.07,0,6,95,61,25,0,12.8,0,0,0,0,0,0,0,0,0
Devon Conway,8,WK,CHE,23,3,924,92,48.63,654,141.28,0,9,99,30,8,0,23,0,0,0,0,0,0,0,0,0
Dhruv Jurel,7.5,WK,RR,13.5,3.5,173.5,0,23.045,114.5,155.515,0,1,14.5,8,6,0,13.5,0,0,0,0,0,0,0,0,0
Digvesh Singh,5,BOWL,LSG,8,1,120,38,17.1,100,120,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,0
Donovan Ferreira,7,ALL,DC,2,0,8,7,4,11,72.73,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Dushmantha Chameera,7,BOWL,DC,13,4,43,17,10.75,28,153.57,0,0,3,3,2,0,13,282,432,9,2\17,48,9.19,31.33,0,0
Eshan Malinga,6,BOWL,SRH,108,7,2752,106,28.97,1999,137.67,1,16,266,125,52,5,8,1,4,0,0/4,-,24,-,0,0
Faf du Plessis,8.5,BAT,DC,147,11,4650,96,36.05,136.89,120,38,427,171,84,0,0,147,6,16,0,0\16,na,0,0,0,0
FazalHaq Farooqi,7,BOWL,RR,8,2,3,2,-,13,23.08,0,0,0,0,1,0,8,170,276,6,11720,46,9.74,28.33,0,0
Gerald Coetzee,7,BOWL,GT,10,1,14,8,3.5,22,63.64,0,0,0,1,2,0,10,201,341,13,4\43,26.23,10.18,15.46,1,0
Glenn Maxwell,8.5,ALL,PBKS,135,17,2771,95,24.52,1769,156.64,0,18,232,160,47,0,135,956,1329,38,42036,34.97,8.34,25.16,0,0
Glenn Phillips,8,BAT,GT,8,1,65,25,9.29,55,118.18,0,0,3,6,3,0,8,30,40,2,45931,20,8,15,0,0
Gurjapneet Singh,6,BOWL,CHE,5,3,22,0,11,30,73.3,0,0,2,0,3,0,32,672,845,29,0,29.1,7.5,23.2,0,0
Gurnoor Brar Singh,5.5,BOWL,GT,1,0,0,0,-,0,-,0,0,0,0,0,0,1,18,42,0,0/42,-,14,-,0,0
Hardik Pandya,9,ALL,MI,13.875,4.125,264.625,52.4,28.95625,183.125,142.82,0,1.125,20.5,13.25,7.375,0,13.875,177.25,268.75,8,0,56.305,9.12,35.785,0,0
Harnoor Singh Pannu,5,BAT,PBKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harpreet Brar,6.5,BOWL,PBKS,8,2.6,46.6,21.5,10.7,38,126.144,0,0,3.8,1.8,2.8,0,8,131,170.8,5,0,26.362,8.152,20.456,0.2,0
Harshal Patel,8,BOWL,SRH,10.77777778,1.444444444,27.66666667,13.14285714,13.22,22.33333333,124.4766667,0,0,1.777777778,1.666666667,2.555555556,0,10.77777778,222.7777778,320.2222222,14.33333333,0,26.89444444,8.855555556,18.23777778,0.222222222,0.111111111
Harshit Rana,8,BOWL,KKR,2,1,2,2,2,2,100,0,0,0,0,0,0,2,30,51,1,0,51,10.2,30,0,0
Heinrich Klaasen,9,WK,SRH,38,6,1085,104,37.41,640,169.53,1,6,65,68,15,7,38,0,0,0,-,-,-,-,0,0
Himmat Singh,5.5,BAT,LSG,50,12,1100,0,28.9,820,134.1,1,7,98,42,15,0,5,60,90,2,0,45,9,30,0,0
Ishan Kishan,8,WK,SRH,10.71428571,0.857142857,273.5714286,61.33333333,27.43428571,206.2857143,126.64,0,1.571428571,25.57142857,12,4.571428571,0,10.71428571,0,0,0,0,0,0,0,0,0
Ishant Sharma,7.5,BOWL,GT,9.875,2.375,7.125,9,3.625,8.625,106.58,0,0,0.5,0.25,1.375,0,9.875,203.375,272.125,8.75,0,25.57,8.3375,19.20875,0,0.125
Jacob Bethell,7,BAT,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Fraser-McGurk,7.5,BAT,DC,11,0,369,84,33.55,175,210.86,0,4,36,30,7,0,11,0,0,0,0,0,0,0,0,0
Jamie Overton,6.5,ALL,CHE,62,12,780,0,15.6,520,150,0,3,64,42,18,0,58,1200,1620,45,0,36,8.1,26.7,2,0
Jasprit Bumrah,9,BOWL,MI,13.85714286,2.285714286,9.857142857,6,6.142857143,9.857142857,98.72142857,0,0,0.714285714,0.142857143,1.714285714,0,13.85714286,318.7142857,381.1428571,17.85714286,0,26.05285714,7.187142857,21.40571429,0.285714286,0.142857143
Jayant Yadav,6.5,BOWL,GT,5,0.5,20,14,10,18,95.38,0,0,1,0.5,1.5,0,5,102,127.5,2,0,63.75,7.495,51,0,0
Jaydev Unadkat,7,BOWL,SRH,9.2,1.6,19.7,11.66666667,8.042,16.6,90.987,0,0,1.6,0.7,2.3,0,9.2,190.7,284.3,8.9,0,32.64,9.232,21.556,0,0.2
Jitesh Sharma,7.5,WK,RCB,14,1,187,0,17,142,131.69,0,0,9,12,13,0,14,0,0,0,0,0,0,0,0,0
Jofra Archer,8,BOWL,RR,43,13,216,27,14.4,138,156.52,0,0,11,16,11,0,43,1002,1293,49,42064,26.39,7.74,20.45,0,0
Jos Buttler,9,WK,GT,109,12,3675,124,38.28,2485,147.89,7,20,364,164,55,1,109,0,0,0,-,-,-,-,0,0
Josh Hazlewood,8.5,BOWL,RCB,29,6,19,7,-,28,67.86,0,0,1,0,2,0,29,651,853,40,45748,21.33,7.86,16.28,1,0
Josh Inglis,7.5,WK,PBKS,9.2,1.6,19.7,11.66666667,8.042,16.6,90.987,0,0,1.6,0.7,2.3,0,9.2,190.7,284.3,8.9,0,32.64,9.232,21.556,0,0.2
K Nitish Reddy,8,ALL,SRH,18,2,365,76,30.42,257,142.02,0,2,21,22,7,0,18,109,207,3,42767,69,11.39,36.33,0,0
Kagiso Rabada,8.5,BOWL,GT,82,14,213,44,11.83,198,107.58,0,0,16,9,30,0,82,1866,2653,119,44287,22.29,8.53,15.68,6,0
Kamindu Mendis,7,BAT,SRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamlesh Nagarkoti,6,BOWL,CHE,10,3,22,0,7.33,31,70.96,0,0,1,0,4,0,10,156,231,5,0,46.2,8.88,31.2,0,0
Karim Janat,6,ALL,GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karn Sharma,6.5,BOWL,MI,10.14285714,1.857142857,50,18.25,9.867142857,41.57142857,124.5971429,0,0,2.857142857,2.428571429,2.428571429,0,10.14285714,186.7142857,257.1428571,9.428571429,0,22.03,8.675714286,15.82571429,0.285714286,0
Karun Nair,7,BAT,DC,9.125,0.625,185,38.6,18.6675,144.125,115.04875,0,1.25,20,4.875,2.75,0,8.75,0,0,0,0,0,0,0,0,0
Khaleel Ahmed,7.5,BOWL,CHE,60,0,1,1,0.25,7,14.29,0,0,0,0,4,0,60,1348,1976,80,01-03-2021 00:00,24.7,8.8,16.85,0,0
KL Shrijith,6,WK,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krunal Pandya,7.5,ALL,RCB,14.11111111,4.222222222,183,48.42857143,24.27555556,137.7777778,132.8488889,0,0.111111111,16,6.777777778,5.111111111,0,14.11111111,235.7777778,289.5555556,8.444444444,0,37.59,7.382222222,30.22222222,0,0
Kuldeep Sen,6,BOWL,PBKS,4,0.333333333,0,0,0,1,0,0,0,0,0,1.333333333,0,4,80.33333333,129,4.666666667,0,16.65333333,9.64,10.29333333,0.333333333,0
Kuldeep Yadav,8.5,BOWL,DC,11.57142857,3,26.14285714,14,17.16714286,30.85714286,89.18857143,0,0,2.285714286,0.428571429,2.714285714,0,11.57142857,239.1428571,327.1428571,11.57142857,0,42.26285714,8.18,31.40428571,0.571428571,0
Kulwant Khejroliya,6,BOWL,GT,3.333333333,1.333333333,9.333333333,0,2.333333333,13.33333333,23.33333333,0,0,1,0,1.666666667,0,16.66666667,331.6666667,424.6666667,19.33333333,0,40.3,8.923333333,26.3,1,0
Kumar Kartikeya,6,BOWL,RR,13,0,10,6,3.33,13,76.92,0,0,1,0,1,0,13,240,339,10,44593,33.9,8.48,24,0,0
Kumar Kushagra,5.5,WK,GT,4,0,3,2,1,7,42.86,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
Kunal Singh Rathore,5,WK,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwena Maphaka,6,BOWL,RR,2,0,0,0,-,0,-,0,0,0,0,0,0,2,36,89,1,44927,89,14.83,36,0,0
Liam Livingstone,8,ALL,RCB,41,7,964,94,28.35,592,162.84,0,6,68,68,18,0,41,294,435,13,46447,33.46,8.88,22.62,0,0
Lockie Ferguson,7.5,BOWL,PBKS,45,7,68,24,22.67,46,147.83,0,0,6,2,9,0,45,955,1426,46,46844,31,8.96,20.76,1,0
Lokesh Rahul,9,WK,DC,133,20,4698,132,45.17,3484,134.85,4,37,402,188,82,7,131,0,0,0,0,0,0,0,0,0
Lungi Ngidi,7.5,BOWL,RCB,4.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,4.666666667,108,149.3333333,8.333333333,0,19.24333333,8.946666667,13.08,0.333333333,0
Luvnith Sisodia,5.5,WK,KKR,35,10,620,0,24.8,480,129.2,0,4,56,22,28,5,0,0,0,0,0,0,0,0,0,0
Madhav Tiwari,5,ALL,DC,12,1,180,52,15,160,112.5,0,1,16,7,3,0,0,0,0,0,0,0,0,0,0,0
Maheesh Theekshana,7.5,BOWL,RR,30,3,10,7,10,12,83.33,0,0,0,1,4,0,30,696,911,27,12145,33.74,7.85,25.78,1,0
Mahipal Lomror,6.5,BAT,GT,7,1.2,92,32.25,20.208,63.2,139.574,0,0.2,5.8,5.4,1.8,0,7,18,25.4,0.2,0,9.4,10.242,8.4,0,0
Mahipal Lomror,6.5,BAT,GT,2.5,0,33.5,27.5,13.83,28.5,187.955,0,0,2,1.5,0.5,0,2.5,0,0,0,0,0,0,0,0,0
Manav Suthar,6,ALL,GT,1,0,1,1,1,2,50,0,0,0,0,0,0,1,12,26,0,0,0,13,0,0,0
